project id,sequence id,Library prep ID ,herbarium,accession,genus,species,var,,collection year,extraction date,nanodrop concentration,260/280,shape,ITS gel success?,QUBIT value,qubit date,notes
36,43,43,UC,1440573,Perityle,rupestris,,UC_1440573_Perityle_rupestris,1964,,,,,no,,,
37,44,44,UC,1731839,Perityle,tenella,,UC_1731839_Perityle_tenella,1988,,,,,no,,,
38,47,47,UC,1523224,Perityle,turneri,,UC_1523224_Perityle_turneri,1984,,,,,yes,,,
40,48,48,UC,1609992,Perityle,heucosensis,,UC_1609992_Perityle_heucosensis,1993,,,,,no,,,
42,49,49,UC,1555785,Perityle,vigilans,,UC_1555785_Perityle_vigilans,1985,,,,,yes,,,
43,50,50,UC,1424077,Perityle,palmeri,,UC_1424077_Perityle_palmeri,1967,,,,,no,,,
45,51,51,UC,1717054,Perityle,microcephala,,UC_1717054_Perityle_microcephala,1990,,,,,yes,,,
54,52,52,ARIZ,415913,Perityle,ajoensis,,ARIZ_415913_Perityle_ajoensis,2013,,,,,yes,0.11,,
55,53,53,ARIZ,416297,Perityle,vaseyi,,ARIZ_416297_Perityle_vaseyi,2013,,,,,yes,,,
56,54,54,ARIZ,276021,Perityle,vandevenderi,,ARIZ_276021_Perityle_vandevenderi,1987,,,,,yes,,,
57,55,55,ARIZ,372727,Perityle,saxicola,,ARIZ_372727_Perityle_saxicola,2003,,,,,no,,,
58,56,56,ARIZ,283476,Perityle,rupestris,,ARIZ_283476_Perityle_rupestris,1965,,,,,yes,,,
59,57,57,ARIZ,384911,Perityle,reinana,,ARIZ_384911_Perityle_reinana,2005,,,,,yes,,,
60,58,58,ARIZ,356412,Perityle,pseudocilliata,,ARIZ_356412_Perityle_pseudocilliata,1998,,,,,yes,,,
61,59,59,ARIZ,389706,Perityle,lobata,,ARIZ_389706_Perityle_lobata,2005,,,,,yes,,,
100,60,60,UC,89370,Perityle,megalocephala,megalocephala,UC_89370_Perityle_megalocephala,1978,,,,,,,,
99,61,61,UC,148553,Pericome,macrocephala,,UC_148553_Pericome_macrocephala,1907,,,,,,,,
66,,61,UC,1727939,Perityle,vaseyi,,UC_1727939_Perityle_vaseyi,1990,,,,,yes,,,
67,62,62,UCR,146783,Amauria,brandegeana,,UCR_146783_Amauria_brandegeana,1998,,,,,yes,,,
68,63,63,UCR,117599,Eutetras,palmeri,,UCR_117599_Eutetras_palmeri,1995,,,,,no,,,
77,65,65,UCR,70576,Perityle,trichodonta,,UCR_70576_Perityle_trichodonta,1989,,,,,yes,,,
78,66,66,UCR,66908,Perityle ,stansburyi,,UCR_66908_Perityle _stansburyi,1990,,,,,no,,,
80,72,72,Dudley,519263,Perityle,megalocephala,intricata,Dudley_519263_Perityle_megalocephala,1965,,,,,,,,
82,73,73,CAS,915298,Eutetras,pringlei,,CAS_915298_Eutetras_pringlei,1988,,,,,,,,
85,74,74,CAS,694453,Perityle,rosei,,CAS_694453_Perityle_rosei,1983,,,,,,,,
88,75,75,UTH,59919,Perityle,carmenensis,,UTH_59919_Perityle_carmenensis,1989,,,,,,,,
98,76,76,Lundell,60080,Perityle,jaliscana,,Lundell_60080_Perityle_jaliscana,1994,,,,,,,,
101,77,77,UC,651747,Perityle,canescens,,UC_651747_Perityle_canescens,1940,,,,,,,,
102,78,78,UC,145620,Perityle,lineariloba,,UC_145620_Perityle_lineariloba,1906,,,,,,,,
103,79,79,UC,90480,Perityle,lloydii,,UC_90480_Perityle_lloydii,1970,,,,,,,,
104,80,80,UC,1523222,Perityle,montana,needs label,UC_1523222_Perityle_montana,1984,,,,,,,,
105,81,81,UC,648836,Perityle,emoryi,discoidea (needs label),UC_648836_Perityle_emoryi,1939,,,,,,,,
90,83,83,UTH,59936,Perityle,crassifolia,crassifolia,UTH_59936_Perityle_crassifolia,1962,,,,,,,,
92,84,84,Lundell,2402,Perityle,cernua,,Lundell_2402_Perityle_cernua,1970,,,,,,,,
95,85,85,Lundell,60070,Perityle,hofmeisteria,,Lundell_60070_Perityle_hofmeisteria,1972,,,,,,,,
107,86,86,ILM,ILMPB-2,Perityle,emoryi ,coast annual,ILM_ILMPB-2_Perityle_emoryi ,2017,,,,,,,,
108,87,87,ILM,2017-21,Perityle,emoryi ,yellow,ILM_2017-21_Perityle_emoryi ,2017,,,,,,,,
109,88,88,ILM,PB-1,perityle ,emoryi ,perennial,ILM_PB-1_perityle _emoryi ,2017,,,,,,,,
110,89,89,ILM,PB-3,perityle,emoryi ,bdla,ILM_PB-3_perityle_emoryi ,2017,,,,,,,,
83,90,90,CAS,622498,Perityle,microglossa,Spilanthes,CAS_622498_Perityle_microglossa,1979,,,,,,,,
84,91,91,CAS,1120424,Perityle,harkerae,,CAS_1120424_Perityle_harkerae,2004,,,,,,,,
91,92,92,Lundell,423327,Perityle,crassifolia,robusta,Lundell_423327_Perityle_crassifolia,1992,,,,,,,,
93,93,93,UTH,6528,Perityle,fosteri,,UTH_6528_Perityle_fosteri,1978,,,,,,,,
94,94,94,UTH,29908,Perityle,glaucescens,,UTH_29908_Perityle_glaucescens,1996,,,,,,,,
89,96,96,Lundell,59901,Perityle,castillonii,,Lundell_59901_Perityle_castillonii,1964,,,,,,,,
111,97,97,SR,14477,Perityle,batopilensis,,SR_14477_Perityle_batopilensis,25 Sept 2012,6/27/17,,,,,,,Collector: Spellenberg & Anderson 14477
112,98,98,SR,1311,Perityle,warnockii,,SR_1311_Perityle_warnockii,11 Oct 1964,6/27/17,,,,,,,Collector: Powell 1311
113,99,99,NY,426075,Perityle,feddemae,,NY_426075_Perityle_feddemae,,6/27/17,,,,,,,Collector: Reid Moran 11694
114,100,100,UC,1298184,Amauria,rotundifolia,,UC_1298184_Amauria_rotundifolia,,6/27/17,,,,,,,
115,101,101,JEPS,123811,Pleurocoronis,pluriseta,,JEPS_123811_Pleurocoronis_pluriseta,2010,6/27/17,,,,,,,
